TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLAYOFF_RANKING,SEASON,UNIQUE_ID
1610612766,Charlotte Hornets,82,54,28,0.659,53.3,40.2,85.4,0.471,8.0,18.6,0.428,20.7,26.7,0.777,12.2,30.9,43.2,27.2,16.2,8.0,4.7,4.5,22.9,0.2,109.1,2.1,10,Charlotte Hornets,41.1,89.5,0.46,6.6,18.4,0.357,18.3,25.0,0.73,14.5,30.4,44.9,24.0,15.4,7.2,4.5,4.7,24.0,22.9,107.1,1,1996-97,1610612766199697
1610612738,Boston Celtics,82,15,67,0.183,49.7,38.3,86.9,0.44,5.8,16.6,0.351,20.6,27.4,0.75,13.7,27.3,41.0,22.4,16.7,10.1,3.9,7.0,23.9,0.1,102.9,-7.5,10,Boston Celtics,42.0,83.6,0.503,6.2,16.9,0.365,20.3,28.2,0.72,12.5,32.8,45.3,26.6,18.0,9.0,7.0,3.9,22.8,23.9,110.4,0,1996-97,1610612738199697
1610612754,Indiana Pacers,82,39,43,0.476,53.1,38.0,83.4,0.456,5.7,15.1,0.381,22.5,31.1,0.722,13.7,31.9,45.6,23.3,17.8,7.8,5.3,5.6,26.4,0.4,104.2,1.1,10,Indiana Pacers,37.3,84.7,0.44,6.7,19.2,0.347,21.9,29.1,0.753,13.4,30.1,43.5,23.2,17.2,9.3,5.6,5.3,26.0,26.4,103.2,0,1996-97,1610612754199697
1610612751,New Jersey Nets,82,26,56,0.317,50.8,38.5,91.1,0.422,6.2,17.6,0.353,19.3,26.1,0.74,18.1,30.5,48.6,22.2,16.6,8.7,6.2,6.6,24.0,0.2,102.4,-4.8,10,New Jersey Nets,39.8,85.9,0.464,6.7,18.0,0.372,20.9,28.1,0.745,13.7,31.7,45.3,24.7,16.1,8.7,6.6,6.2,22.9,24.0,107.2,0,1996-97,1610612751199697
1610612755,Philadelphia 76ers,82,22,60,0.268,49.4,37.5,85.6,0.438,5.4,16.9,0.319,22.2,30.6,0.725,15.8,29.4,45.2,21.2,17.9,8.5,4.9,6.2,21.6,0.1,102.6,-6.7,10,Philadelphia 76ers,41.4,88.0,0.47,7.0,19.1,0.365,19.5,26.7,0.733,14.8,30.6,45.5,25.8,16.0,10.3,6.2,4.9,25.1,21.6,109.3,0,1996-97,1610612755199697
1610612743,Denver Nuggets,82,21,61,0.256,51.3,37.7,86.0,0.439,8.2,22.0,0.372,19.5,25.6,0.761,12.8,31.5,44.3,24.3,17.5,6.5,6.3,5.8,22.9,0.2,103.1,-6.6,10,Denver Nuggets,42.4,90.8,0.467,6.2,15.8,0.393,18.7,25.0,0.75,14.0,31.6,45.6,23.7,13.6,9.3,5.8,6.3,22.2,22.9,109.8,0,1996-97,1610612743199697
1610612742,Dallas Mavericks,82,24,58,0.293,53.1,37.7,86.4,0.436,5.7,17.6,0.326,18.4,25.7,0.717,13.9,30.3,44.2,22.3,17.7,8.8,4.7,5.8,24.1,0.2,99.5,-7.0,10,Dallas Mavericks,39.7,86.7,0.458,7.2,19.3,0.373,19.9,26.4,0.751,14.7,32.5,47.2,24.0,17.2,9.2,5.8,4.7,22.7,24.1,106.5,0,1996-97,1610612742199697
1610612758,Sacramento Kings,82,34,48,0.415,51.8,39.2,86.4,0.454,5.4,13.8,0.391,19.5,27.0,0.723,14.4,30.1,44.5,23.5,17.4,7.7,4.7,5.6,25.1,0.4,103.3,-4.2,10,Sacramento Kings,39.3,85.2,0.462,5.8,16.4,0.353,22.5,30.5,0.737,13.9,30.6,44.5,23.2,16.4,9.3,5.6,4.7,23.4,25.0,106.9,0,1996-97,1610612758199697
1610612759,San Antonio Spurs,82,20,62,0.244,54.3,38.9,87.9,0.442,5.2,16.2,0.32,19.1,26.5,0.719,15.1,29.3,44.4,22.9,17.1,8.9,5.9,6.2,24.3,0.2,102.1,-8.9,10,San Antonio Spurs,41.3,87.8,0.471,7.6,19.6,0.387,20.7,28.1,0.738,14.4,31.7,46.1,26.9,16.2,9.1,6.2,5.9,22.6,24.3,111.0,0,1996-97,1610612759199697
1610612739,Cleveland Cavaliers,82,42,40,0.512,56.9,38.7,85.5,0.453,6.9,18.4,0.376,18.4,25.4,0.723,13.0,30.9,43.9,24.5,17.0,9.4,4.5,5.0,27.0,0.3,102.7,2.2,10,Cleveland Cavaliers,35.6,80.7,0.441,6.6,17.6,0.373,22.7,30.6,0.742,12.1,31.3,43.4,23.6,19.1,7.9,5.0,4.5,25.0,27.0,100.6,0,1996-97,1610612739199697
1610612761,Toronto Raptors,82,30,52,0.366,52.1,38.1,87.2,0.437,7.7,21.3,0.363,19.0,26.4,0.72,14.9,29.6,44.5,22.5,17.7,9.5,6.8,5.8,24.8,0.1,102.9,-3.4,10,Toronto Raptors,39.1,84.0,0.465,6.5,18.8,0.348,21.6,29.9,0.724,13.6,30.9,44.5,25.9,17.6,8.9,5.8,6.8,23.6,24.8,106.3,0,1996-97,1610612761199697
1610612749,Milwaukee Bucks,82,33,49,0.402,52.9,39.7,84.4,0.471,4.3,12.3,0.352,20.9,28.2,0.741,12.8,30.3,43.1,21.6,17.2,8.5,4.7,5.3,25.3,0.1,104.7,-2.1,10,Milwaukee Bucks,40.2,85.1,0.472,4.9,14.5,0.342,21.5,29.4,0.731,13.1,30.2,43.3,24.4,16.1,9.3,5.3,4.7,23.8,25.3,106.8,0,1996-97,1610612749199697
1610612741,Chicago Bulls,82,62,20,0.756,53.2,41.0,91.0,0.451,4.2,12.9,0.323,20.0,26.9,0.743,16.6,32.6,49.3,26.1,15.8,9.3,4.7,4.8,22.6,0.2,106.2,7.8,10,Chicago Bulls,37.4,86.8,0.431,4.4,13.7,0.322,19.1,26.2,0.729,13.6,30.0,43.6,21.3,17.0,8.7,4.8,4.7,23.7,22.6,98.4,5,1997-98,1610612741199798
1610612762,Utah Jazz,82,62,20,0.756,53.0,40.1,81.9,0.49,3.3,9.0,0.372,27.4,35.4,0.773,12.9,32.2,45.1,27.7,16.9,8.7,5.5,5.7,26.3,0.3,110.9,7.2,10,Utah Jazz,37.6,85.6,0.439,5.4,15.0,0.357,23.2,30.6,0.757,13.2,27.0,40.1,22.6,15.5,8.6,5.7,5.5,28.6,26.3,103.7,4,1997-98,1610612762199798
1610612747,Los Angeles Lakers,82,61,21,0.744,50.6,40.1,83.4,0.481,6.3,18.1,0.351,23.8,35.0,0.679,13.8,31.5,45.3,25.6,16.0,9.4,7.1,5.4,23.7,0.1,110.4,8.1,10,Los Angeles Lakers,38.1,86.8,0.439,4.8,13.7,0.354,21.3,29.1,0.732,14.3,29.8,44.2,23.5,16.3,8.4,5.4,7.1,27.5,23.7,102.3,3,1997-98,1610612747199798
1610612754,Indiana Pacers,82,58,24,0.707,53.5,39.4,84.0,0.469,5.4,13.9,0.39,22.0,28.8,0.764,11.8,31.7,43.5,25.5,15.8,8.7,5.0,4.9,25.1,0.1,106.3,6.7,10,Indiana Pacers,37.6,87.1,0.432,3.7,11.7,0.316,20.6,28.3,0.728,15.0,30.4,45.5,21.5,16.7,8.7,4.9,5.0,24.9,25.1,99.5,3,1997-98,1610612754199798
1610612766,Charlotte Hornets,82,51,31,0.622,52.7,39.5,84.5,0.468,4.6,12.0,0.383,21.8,29.1,0.751,13.1,31.2,44.3,25.8,16.6,9.2,4.2,5.0,23.4,0.3,105.5,2.2,10,Charlotte Hornets,39.6,85.4,0.464,4.9,14.2,0.347,19.1,26.1,0.731,12.8,30.1,42.9,24.0,16.5,7.7,5.0,4.2,25.3,23.4,103.3,2,1997-98,1610612766199798
